spec_hash,count,functions
e99a0a81d2e8609935191d992cb4bb1804fbfcc637573fc61720997fa747950a,27,initialize mint set_admin allowance approve balance transfer transfer_from burn burn_from decimals name symbol
b4c89b13a7605bd46a2a7d2591233c949324176b085192753faf5345b19fe2ae,25,get_admin initialize mint set_admin allowance approve balance transfer transfer_from burn burn_from decimals name symbol
2cf24dba5fb0a30e26e83b2ac5b9e29e1b161e5c1fa7425e73043362938b9824,24,hello
b7fb589c52a3b0b6735c6b5568dc716f7fbe111d005e771351123992612b1ca8,21,sum sub mul div last_op get_op all_op
f679230253e596b02442b1ca20083da5efd7bf5dfe48a9814afb6fe8ebe58bc9,20,increment
7a04d2062707e08016c1e22dce117828b8a9e0413c824fe3ad2b6f4bdb624f28,16,__constructor update resolve upgrade __check_auth
1dd8272b907213ccf489f87b178382d682fea3c79b7904532f613b7b54feb0c1,14,initialize execute withdraw
1b375ad4f3f0489cb6ce6bfd8bde218db2e60be2c764bdcafa9358c38280cafc,12,initialize execute withdraw __check_auth
582bf9bebeed4ce75c1c69b0c8a693dd918794157ce54543f497eede0417e04d,12,init enable_protocol update_contract swap withdraw
7bb6c39341e1afb6c97626d467db789b18fc0fe68de42b0d7593b7194751a663,12,a get_virtual_price calc_token_amount get_dy get_dy_underlying remove_liquidity_imbalance calc_withdraw_one_coin withdraw_one_coin ramp_a stop_ramp_a commit_new_fee apply_new_fee revert_new_parameters commit_transfer_ownership apply_transfer_ownership revert_transfer_ownership admin_balances withdraw_admin_fees donate_admin_fees kill_me unkill_me initialize_all pool_type initialize get_fee_fraction get_admin_fee share_id get_reserves get_tokens deposit swap estimate_swap withdraw get_info version upgrade initialize_rewards_config set_rewards_config get_rewards_info get_user_reward claim set_pools_plane get_pools_plane
58b1dfed4cb79ed8efc3f27d2aefdaab43845aaee25fee78f3938eed8f9eedbc,11,initialize_all pool_type initialize share_id get_tokens deposit swap estimate_swap withdraw get_reserves get_fee_fraction get_info initialize_rewards_config set_rewards_config get_rewards_info get_user_reward claim set_pools_plane get_pools_plane
b7bd55c11b781b0ccc43aa6e57f9dadf0660e9d1d4e27e0979ee43a407d454ae,11,deploy
8d86f6f0da623cb89c2d37e44aac3ac58d4b6c72dfaac5f9f95d4f4666b44f75,10,init mint add_liquidity_invoke set_admin upgrade allowance approve balance transfer transfer_from burn burn_from decimals name symbol
bfa1b9bf5fd7af9adaf6314b179d390d76ba579067cae92756cd5e45da00ecfb,10,initialize provide_liquidity swap withdraw_liquidity update_config upgrade query_config query_share_token_address query_stake_contract_address query_pool_info query_pool_info_for_factory simulate_swap simulate_reverse_swap query_share query_total_issued_lp update
13a855a753a88b2a111504a41b8a0206da83a83de3c860a27b9a7b068a5f330a,9,init mint add_liquidity_invoke swap_invoke set_admin upgrade allowance approve balance transfer transfer_from burn burn_from decimals name symbol
2706c619fe73f0cf112473c6ee02e66c04e1c01c110b0c37b88d8eb509630c9f,8,exec
5b45a2f4ccddbec804a2dd1f7fa2815f1ea4e30e530a6031a8b46067b7c8748e,8,__constructor update resolve upgrade
6b80c6d0eea4da650e27d02bcc26701395e319bd3ef986d3982981562588db3e,8,initialize swap_exact_tokens_for_tokens swap_tokens_for_exact_tokens get_protocol_id get_protocol_address
8eaec1cbb8b05e7fccd8b8fda2edfb8d332af76b7661e70502311b2e18fd4d5c,8,init enable_protocol update_contract strict_send
ac5d49297eba0f38caa1993314f824ad6a9df81295a7e2bba30969ff0a4428da,8,resolution price prices base decimals assets lastprice initialize block unblock set_admin
e649af92bcd05d18f60d5420da000f6096181d7d5055f2652ee80bd0f13a7fdd,8,plant work harvest __constructor upgrade pause unpause remove_block __check_auth
ef126be1af18a25bf4fff48b595ed3f755a1ed3232f55e39b16386a2a5faf338,8,init enable_protocol update_contract strict_send strict_receive
5490d3a3d42813022619e4c22d672449068b328571f41a82dec5ada793668299,7,init_admin set_pools_plane get_pools_plane get_liquidity version commit_upgrade apply_upgrade revert_upgrade set_emergency_mode get_emergency_mode commit_transfer_ownership apply_transfer_ownership revert_transfer_ownership get_future_address
60a886521edb4bb22380c1a35cdc608a3ccf335f7c4378128263aabb880639c1,7,init deposit withdraw_with_sig withdraw_with_account set_user_account swap_tokens_with_sig get_nonce get_balance upgrade
7e9e5ac30f2216fd0fd6f5faed316f2d5983361a4203c3330cfa46ef65bb4767,7,add
8dd1c9138d1229b3b8acfbce7f8cd9f8298c04eae5d8c5d88a1b4e30b0d6f79c,7,__constructor mint set_admin allowance approve balance transfer transfer_from burn burn_from decimals name symbol
a63022564044669506e7522e18d0e28d530cf06d603f17156ede6907b1013a93,7,init_admin set_pools_plane get_pools_plane estimate_swap version upgrade
acba25512100f80b56fc3ccd14c65be55d94800cda77585c5f41a887e398f9be,7,run
be50e45f11b30e305d3abfd479be50c8d63691fdaeb0ec93bf7e98921e6d1b33,7,set_adm upgrade set_maps strict_send
d57adc309b18be013ee28677d45fb1577d5fd305efcb5f196dff7aa9e4f431f2,7,initialize bond unbond create_distribution_flow distribute_rewards withdraw_rewards query_config query_admin query_staked query_total_staked query_total_staked_history query_reward_history query_withdrawable_rewards update
efc2b85afb220bb4bb57e45f7c737db42042e5d9195ef47071eef162ec298097,7,init deposit withdraw_with_sig withdraw_with_account set_user_account swap_tokens get_nonce get_balance upgrade
